
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384945      0.306099685       1.085781                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 0000000000000000, length = 06A7
59B  --1-           -1  -1       43384945      0.306158375       0.058690                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 00000000000006A7, length = 0000
59B  --1-           -1  -1       43384945      0.306237667       0.079292                   JFS2 IO devstrat (pager strategy): bplist = F1000102022ABDA0, vp = F10001038092BC20, sid = 810081, lv blk = 278A8, bcount = 1000
59B  --1-           -1  -1       39977129      0.307141156       0.903489                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       39977129      0.307325328       0.184172                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       39977129      0.307328406       0.003078                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       39977129      0.307331656       0.003250                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       37486597      0.307804453       0.472797                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486597      0.308092156       0.287703                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       37486597      0.308094093       0.001937                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       37486597      0.308096212       0.002119                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       43384945      0.316037244       7.941032                   JFS2 IO devstrat (pager strategy): bplist = F1000102022AA060, vp = F10001038092BC20, sid = 810081, lv blk = 278C0, bcount = 1000
59B  --1-           -1  -1       43384945      0.316575375       0.538131                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       43384945      0.316657248       0.081873                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000001000, length = 06DE
59B  --1-           -1  -1       43384945      0.316711500       0.054252                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 00000000000015A4, length = 013A
59B  --1-           -1  -1       43384945      0.316756501       0.045001                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000D3F, length = 099F
59B  --1-           -1  -1       43384945      0.316873226       0.116725                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384945      0.316896595       0.023369                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
