
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384949      2.469349439       0.003783                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98EA, length = 1000
59B  --1-           -1  -1       43384949      2.469353074       0.003635                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108446, length = 1000
59B  --1-           -1  -1       43384949      2.469356851       0.003777                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD990E, length = 1000
59B  --1-           -1  -1       43384949      2.469360593       0.003742                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107B16, length = 1000
59B  --1-           -1  -1       43384949      2.469364373       0.003780                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9932, length = 1000
59B  --1-           -1  -1       43384949      2.469368552       0.004179                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021065E1, length = 1000
59B  --1-           -1  -1       43384949      2.469372054       0.003502                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9956, length = 1000
59B  --1-           -1  -1       43384949      2.469376333       0.004279                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108AC7, length = 1000
59B  --1-           -1  -1       43384949      2.469379849       0.003516                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD997A, length = 1000
59B  --1-           -1  -1       43384949      2.469384093       0.004244                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBE7, length = 1000
59B  --1-           -1  -1       43384949      2.469387544       0.003451                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99C2, length = 1000
59B  --1-           -1  -1       43384949      2.469391437       0.003893                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210502E, length = 1000
59B  --1-           -1  -1       43384949      2.469394875       0.003438                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD99E6, length = 1000
59B  --1-           -1  -1       43384949      2.469398875       0.004000                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3D4, length = 1000
59B  --1-           -1  -1       43384949      2.469403218       0.004343                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A0A, length = 1000
59B  --1-           -1  -1       43384949      2.469407125       0.003907                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210A3B7, length = 1000
59B  --1-           -1  -1       43384949      2.469411125       0.004000                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A2E, length = 1000
59B  --1-           -1  -1       43384949      2.469414968       0.003843                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021027D6, length = 1000
59B  --1-           -1  -1       43384949      2.469418833       0.003865                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A52, length = 1000
59B  --1-           -1  -1       43384949      2.469423070       0.004237                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104EA2, length = 1000
59B  --1-           -1  -1       43384949      2.469426679       0.003609                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9A76, length = 1000
59B  --1-           -1  -1       43384949      2.469430890       0.004211                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC11, length = 1000
59B  --1-           -1  -1       43384949      2.469434648       0.003758                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9ABE, length = 1000
59B  --1-           -1  -1       43384949      2.469439380       0.004732                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107C80, length = 1000
59B  --1-           -1  -1       43384949      2.469442625       0.003245                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C02, length = 1000
59B  --1-           -1  -1       43384949      2.469446593       0.003968                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCBB, length = 1000
59B  --1-           -1  -1       43384949      2.469450486       0.003893                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C26, length = 1000
59B  --1-           -1  -1       43384949      2.469454593       0.004107                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002102874, length = 1000
59B  --1-           -1  -1       43384949      2.469458562       0.003969                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C6E, length = 1000
59B  --1-           -1  -1       43384949      2.469462187       0.003625                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CCE1, length = 1000
59B  --1-           -1  -1       43384949      2.469465949       0.003762                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9C92, length = 1000
59B  --1-           -1  -1       43384949      2.469470437       0.004488                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021029E9, length = 1000
59B  --1-           -1  -1       43384949      2.469473763       0.003326                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DD6, length = 1000
59B  --1-           -1  -1       43384949      2.469477962       0.004199                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CD86, length = 1000
59B  --1-           -1  -1       43384949      2.469481529       0.003567                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9DFA, length = 1000
59B  --1-           -1  -1       43384949      2.471415154       1.933625                   JFS2 IO read: vp = F10001038096CC20, sid = A800A8, offset = 0000000000000000, length = 0B81
59B  --1-           -1  -1       43384949      2.472551392       1.136238                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 0000000000000000, length = 06A7
59B  --1-           -1  -1       43384949      2.472611330       0.059938                   JFS2 IO read: vp = F100010380A0C820, sid = 9A011A, offset = 00000000000006A7, length = 0000
59B  --1-           -1  -1       43384949      2.472822562       0.211232                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       43384949      2.472901031       0.078469                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000001000, length = 06DE
59B  --1-           -1  -1       43384949      2.472952199       0.051168                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 00000000000015A4, length = 013A
59B  --1-           -1  -1       43384949      2.472987552       0.035353                   JFS2 IO read: vp = F100010380A3C820, sid = B100F1, offset = 0000000000000D3F, length = 099F
59B  --1-           -1  -1       43384949      2.473102656       0.115104                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384949      2.473127511       0.024855                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384949      2.473551406       0.423895                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384949      2.473595656       0.044250                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000001E1, length = 0117
59B  --1-           -1  -1       43384949      2.473719644       0.123988                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 000000000000001A, length = 02DE
59B  --1-           -1  -1       43384949      2.473807494       0.087850                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 0000000000000000, length = 02F8
59B  --1-           -1  -1       43384949      2.473834123       0.026629                   JFS2 IO read: vp = F100010380A1C820, sid = AF00AF, offset = 00000000000000A2, length = 0256
59B  --1-           -1  -1       37486609      2.477871968       4.037845                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486609      2.478194093       0.322125                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       37486609      2.478197031       0.002938                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 0000000000007804, length = 0020
59B  --1-           -1  -1       37486609      2.478200093       0.003062                   JFS2 IO read: vp = F1000103809ED020, sid = B500B5, offset = 00000000000081B4, length = 002F
59B  --1-           -1  -1       37486613      2.541823062      63.622969                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       37486613      2.542117750       0.294688                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000000, length = 0DE4
59B  --1-           -1  -1       37486613      2.542120781       0.003031                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000A98, length = 0020
59B  --1-           -1  -1       37486613      2.542123759       0.002978                   JFS2 IO read: vp = F10001038136F420, sid = A901A9, offset = 0000000000000D58, length = 002F
59B  init           -1  1        65539         2.543834156       1.710397                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000000, length = 0288
59B  init           -1  1        65539         2.543838593       0.004437                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000288, length = 0288
59B  init           -1  1        65539         2.543840966       0.002373                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000510, length = 0288
59B  init           -1  1        65539         2.543842968       0.002002                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000798, length = 0288
59B  init           -1  1        65539         2.543844906       0.001938                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000A20, length = 0288
59B  init           -1  1        65539         2.543846968       0.002062                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000CA8, length = 0288
59B  init           -1  1        65539         2.543848906       0.001938                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000000F30, length = 0288
59B  init           -1  1        65539         2.543851093       0.002187                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000011B8, length = 0288
59B  init           -1  1        65539         2.543853091       0.001998                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000001440, length = 0288
59B  init           -1  1        65539         2.543854998       0.001907                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000016C8, length = 0288
59B  init           -1  1        65539         2.543856929       0.001931                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000001950, length = 0288
59B  init           -1  1        65539         2.543858830       0.001901                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000001BD8, length = 0288
59B  init           -1  1        65539         2.543860769       0.001939                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000001E60, length = 0288
59B  init           -1  1        65539         2.543862968       0.002199                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000020E8, length = 0288
59B  init           -1  1        65539         2.543865050       0.002082                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000002370, length = 0288
59B  init           -1  1        65539         2.543866968       0.001918                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000025F8, length = 0288
59B  init           -1  1        65539         2.543868851       0.001883                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000002880, length = 0288
59B  init           -1  1        65539         2.543870792       0.001941                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000002B08, length = 0288
59B  init           -1  1        65539         2.543872718       0.001926                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000002D90, length = 0288
59B  init           -1  1        65539         2.543874894       0.002176                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000003018, length = 0288
59B  init           -1  1        65539         2.543876906       0.002012                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000032A0, length = 0288
59B  init           -1  1        65539         2.543878843       0.001937                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000003528, length = 0288
59B  init           -1  1        65539         2.543880718       0.001875                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000037B0, length = 0288
59B  init           -1  1        65539         2.543882759       0.002041                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000003A38, length = 0288
59B  init           -1  1        65539         2.543884687       0.001928                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000003CC0, length = 0288
59B  init           -1  1        65539         2.543886617       0.001930                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000003F48, length = 0288
59B  init           -1  1        65539         2.543888718       0.002101                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000041D0, length = 0288
59B  init           -1  1        65539         2.543890625       0.001907                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000004458, length = 0288
59B  init           -1  1        65539         2.543892480       0.001855                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000046E0, length = 0288
59B  init           -1  1        65539         2.543894419       0.001939                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000004968, length = 0288
59B  init           -1  1        65539         2.543896343       0.001924                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000004BF0, length = 0288
59B  init           -1  1        65539         2.543898250       0.001907                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000004E78, length = 0288
59B  init           -1  1        65539         2.543900589       0.002339                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005100, length = 0288
59B  init           -1  1        65539         2.543902593       0.002004                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005388, length = 0288
59B  init           -1  1        65539         2.543904439       0.001846                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005610, length = 0288
59B  init           -1  1        65539         2.543906371       0.001932                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005898, length = 0288
59B  init           -1  1        65539         2.543908257       0.001886                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005B20, length = 0288
59B  init           -1  1        65539         2.543910187       0.001930                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000005DA8, length = 0288
59B  init           -1  1        65539         2.543912500       0.002313                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000006030, length = 0288
59B  init           -1  1        65539         2.543914792       0.002292                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000062B8, length = 0288
59B  init           -1  1        65539         2.543916718       0.001926                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000006540, length = 0288
59B  init           -1  1        65539         2.543918812       0.002094                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000067C8, length = 0288
59B  init           -1  1        65539         2.543920656       0.001844                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000006A50, length = 0288
59B  init           -1  1        65539         2.543922560       0.001904                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000006CD8, length = 0288
59B  init           -1  1        65539         2.543924488       0.001928                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 0000000000006F60, length = 0288
59B  init           -1  1        65539         2.543926625       0.002137                   JFS2 IO read: vp = F10001038148E820, sid = A201A2, offset = 00000000000071E8, length = 0000
59B  ksh            -1  7667962  37617701      3.195292587     651.365962                   JFS2 IO read: vp = F100010381DA5420, sid = 8207C2, offset = 0000000000003152, length = 0000
59B  ksh            -1  7667962  37617701      3.195307273       0.014686                   JFS2 IO write: vp = F100010381DA5420, sid = 8207C2, offset = 0000000000003152, length = 0016
59B  --1-           -1  -1       43384951      3.196105437       0.798164                   JFS2 IO read: vp = F10001038134F420, sid = B90CF9, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       43384951      3.196401890       0.296453                   JFS2 IO read: vp = F10001038134F420, sid = B90CF9, offset = 0000000000000000, length = 0FFC
59B  --1-           -1  -1       43384951      3.196404722       0.002832                   JFS2 IO read: vp = F10001038134F420, sid = B90CF9, offset = 00000000000548F8, length = 0020
59B  --1-           -1  -1       43384951      3.196407792       0.003070                   JFS2 IO read: vp = F10001038134F420, sid = B90CF9, offset = 0000000000058FC8, length = 0042
59B  --1-           -1  -1       43384951      3.197106941       0.699149                   JFS2 IO read: vp = F100010381E15420, sid = 9E0C5E, offset = 0000000000000000, length = 0971
59B  --1-           -1  -1       43384951      3.198095363       0.988422                   JFS2 IO pagerBind: vp = F1000103868CA020, sid = A511A5, rc = 0000
59B  --1-           -1  -1       43384951      3.198182164       0.086801                   JFS2 IO read: vp = F1000103829E0C20, sid = BA0DFA, offset = 0000000000000000, length = 0138
59B  --1-           -1  -1       43384951      3.198252250       0.070086                   JFS2 IO read: vp = F1000103829E0C20, sid = BA0DFA, offset = 0000000000000138, length = 0000
59B  --1-           -1  -1       43384951      3.199351710       1.099460                   JFS2 IO pagerBind: vp = F1000103868DA020, sid = 851105, rc = 0000
59B  --1-           -1  -1       42795231      3.543729953     344.378243                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0400
59B  --1-           -1  -1       42795231      3.544040875       0.310922                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000000000, length = 0FC0
59B  --1-           -1  -1       42795231      3.544043875       0.003000                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 0000000000018888, length = 0038
59B  --1-           -1  -1       42795231      3.544047179       0.003304                   JFS2 IO read: vp = F10001038088E820, sid = BC013C, offset = 000000000001BDB0, length = 0070
59B  --1-           -1  -1       42795231      3.545079869       1.032690                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000000000000, length = 1000
59B  --1-           -1  -1       42795231      3.545087125       0.007256                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F00, length = 1000
59B  --1-           -1  -1       42795231      3.545092320       0.005195                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 00000000021021B0, length = 1000
59B  --1-           -1  -1       42795231      3.545096542       0.004222                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB4F24, length = 1000
59B  --1-           -1  -1       42795231      3.545104500       0.007958                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB5F2C, length = 1000
59B  --1-           -1  -1       42795231      3.545111521       0.007021                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB6F34, length = 1000
59B  --1-           -1  -1       42795231      3.545118904       0.007383                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB7F3C, length = 1000
59B  --1-           -1  -1       42795231      3.545126421       0.007517                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB8F44, length = 1000
59B  --1-           -1  -1       42795231      3.545133468       0.007047                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB9F4C, length = 1000
59B  --1-           -1  -1       42795231      3.545140343       0.006875                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBAF54, length = 1000
59B  --1-           -1  -1       42795231      3.545147656       0.007313                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBBF5C, length = 1000
59B  --1-           -1  -1       42795231      3.545154951       0.007295                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBCF64, length = 1000
59B  --1-           -1  -1       42795231      3.545162027       0.007076                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBDF6C, length = 1000
59B  --1-           -1  -1       42795231      3.545169000       0.006973                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBEF74, length = 1000
59B  --1-           -1  -1       42795231      3.545176232       0.007232                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBFF7C, length = 1000
59B  --1-           -1  -1       42795231      3.545183566       0.007334                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC0F84, length = 1000
59B  --1-           -1  -1       42795231      3.545190673       0.007107                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC1F8C, length = 1000
59B  --1-           -1  -1       42795231      3.545197968       0.007295                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC2F94, length = 1000
59B  --1-           -1  -1       42795231      3.545205375       0.007407                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC3F9C, length = 1000
59B  --1-           -1  -1       42795231      3.545212705       0.007330                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC4FA4, length = 1000
59B  --1-           -1  -1       42795231      3.545219931       0.007226                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC5FAC, length = 1000
59B  --1-           -1  -1       42795231      3.545226810       0.006879                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC6FB4, length = 1000
59B  --1-           -1  -1       42795231      3.545234181       0.007371                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC7FBC, length = 1000
59B  --1-           -1  -1       42795231      3.545241519       0.007338                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC8FC4, length = 1000
59B  --1-           -1  -1       42795231      3.545248593       0.007074                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC9FCC, length = 1000
59B  --1-           -1  -1       42795231      3.545255625       0.007032                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCAFD4, length = 1000
59B  --1-           -1  -1       42795231      3.545262972       0.007347                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCBFDC, length = 1000
59B  --1-           -1  -1       42795231      3.545270238       0.007266                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCCFE4, length = 1000
59B  --1-           -1  -1       42795231      3.545277294       0.007056                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCDFEC, length = 1000
59B  --1-           -1  -1       42795231      3.545284136       0.006842                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCEFF4, length = 1000
59B  --1-           -1  -1       42795231      3.545291468       0.007332                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FCFFFC, length = 1000
59B  --1-           -1  -1       42795231      3.545298687       0.007219                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD1004, length = 1000
59B  --1-           -1  -1       42795231      3.545305876       0.007189                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD200C, length = 1000
59B  --1-           -1  -1       42795231      3.545312792       0.006916                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD3014, length = 1000
59B  --1-           -1  -1       42795231      3.545320218       0.007426                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD401C, length = 1000
59B  --1-           -1  -1       42795231      3.545327625       0.007407                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD5024, length = 1000
59B  --1-           -1  -1       42795231      3.545334636       0.007011                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD602C, length = 1000
59B  --1-           -1  -1       42795231      3.545341500       0.006864                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD7034, length = 1000
59B  --1-           -1  -1       42795231      3.545348894       0.007394                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD803C, length = 1000
59B  --1-           -1  -1       42795231      3.545356212       0.007318                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9044, length = 1000
59B  --1-           -1  -1       42795231      3.545361656       0.005444                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CB2C, length = 1000
59B  --1-           -1  -1       42795231      3.545365748       0.004092                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94A0, length = 1000
59B  --1-           -1  -1       42795231      3.545369472       0.003724                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210C994, length = 1000
59B  --1-           -1  -1       42795231      3.545373460       0.003988                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD94C4, length = 1000
59B  --1-           -1  -1       42795231      3.545377906       0.004446                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107AE5, length = 1000
59B  --1-           -1  -1       42795231      3.545381939       0.004033                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95AE, length = 1000
59B  --1-           -1  -1       42795231      3.545385658       0.003719                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CBA9, length = 1000
59B  --1-           -1  -1       42795231      3.545389027       0.003369                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD95D2, length = 1000
59B  --1-           -1  -1       42795231      3.545394031       0.005004                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DD9, length = 1000
59B  --1-           -1  -1       42795231      3.545398333       0.004302                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97CA, length = 1000
59B  --1-           -1  -1       42795231      3.545402052       0.003719                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210CC08, length = 1000
59B  --1-           -1  -1       42795231      3.545405031       0.002979                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD97EE, length = 1000
59B  --1-           -1  -1       42795231      3.545408755       0.003724                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107A71, length = 1000
59B  --1-           -1  -1       42795231      3.545412656       0.003901                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9812, length = 1000
59B  --1-           -1  -1       42795231      3.545417093       0.004437                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002107970, length = 1000
59B  --1-           -1  -1       42795231      3.545420292       0.003199                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD9836, length = 1000
59B  --1-           -1  -1       42795231      3.545424632       0.004340                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002104DF8, length = 1000
59B  --1-           -1  -1       42795231      3.545427716       0.003084                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD985A, length = 1000
59B  --1-           -1  -1       42795231      3.545431906       0.004190                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210828F, length = 1000
59B  --1-           -1  -1       42795231      3.545435687       0.003781                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD987E, length = 1000
59B  --1-           -1  -1       42795231      3.545439984       0.004297                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002106471, length = 1000
59B  --1-           -1  -1       42795231      3.545444375       0.004391                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98A2, length = 1000
59B  --1-           -1  -1       42795231      3.545448343       0.003968                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 000000000210645C, length = 1000
59B  --1-           -1  -1       42795231      3.545452230       0.003887                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FD98C6, length = 1000
59B  --1-           -1  -1       42795231      3.545456312       0.004082                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000002108455, length = 1000
